Media Type,Post Date,Political Party
GraphSidecar,2024-02-29 20:10:42,L
GraphImage,2024-02-29 18:28:08,L
GraphImage,2024-02-29 18:00:07,L
GraphImage,2024-02-29 17:32:05,L
GraphImage,2024-02-29 17:19:04,L
GraphVideo,2024-02-29 16:59:14,L
GraphSidecar,2024-02-29 15:23:40,L
GraphImage,2024-02-29 14:55:44,L
GraphImage,2024-02-29 12:14:37,L
GraphSidecar,2024-02-28 21:27:04,L
GraphVideo,2024-02-28 20:35:15,L
GraphImage,2024-02-28 19:58:29,L
GraphImage,2024-02-28 18:59:45,L
GraphImage,2024-02-28 17:03:54,L
GraphImage,2024-02-28 16:05:53,L
GraphImage,2024-02-28 12:38:28,L
GraphSidecar,2024-02-28 12:05:38,L
GraphVideo,2024-02-28 09:12:17,L
GraphSidecar,2024-02-28 00:17:57,L
GraphVideo,2024-02-27 22:42:29,L
GraphImage,2024-02-27 22:13:34,L
GraphImage,2024-02-27 20:32:58,L
GraphImage,2024-02-27 20:07:11,L
GraphImage,2024-02-27 20:01:01,L
GraphSidecar,2024-02-27 18:43:10,L
GraphSidecar,2024-02-27 17:33:02,L
GraphImage,2024-02-27 15:42:34,L
GraphVideo,2024-02-27 13:21:22,L
GraphImage,2024-02-27 12:42:18,L
GraphImage,2024-02-27 09:57:04,L
GraphSidecar,2024-02-27 07:10:19,L
GraphImage,2024-02-27 00:17:43,L
GraphVideo,2024-02-26 23:13:20,L
GraphImage,2024-02-26 23:09:43,L
GraphSidecar,2024-02-26 18:55:24,L
GraphImage,2024-02-26 18:31:33,L
GraphImage,2024-02-26 18:14:42,L
GraphSidecar,2024-02-26 15:49:54,L
GraphImage,2024-02-26 13:07:17,L
GraphImage,2024-02-26 12:19:38,L
GraphSidecar,2024-02-26 12:02:26,L
GraphImage,2024-02-26 10:45:03,L
GraphSidecar,2024-02-26 08:44:41,L
GraphVideo,2024-02-26 00:24:51,L
GraphSidecar,2024-02-26 00:06:57,L
GraphVideo,2024-02-25 21:12:05,L
GraphVideo,2024-02-25 20:41:54,L
GraphVideo,2024-02-25 19:47:23,L
GraphVideo,2024-02-25 13:40:02,L
GraphVideo,2024-02-24 17:22:41,L
GraphImage,2024-02-24 13:55:42,L
GraphImage,2024-02-24 13:34:01,L
GraphVideo,2024-02-23 23:53:21,L
GraphVideo,2024-02-23 20:00:08,L
GraphVideo,2024-02-23 19:53:44,L
GraphImage,2024-02-23 17:57:57,L
GraphImage,2024-02-23 16:50:10,L
GraphSidecar,2024-02-23 16:46:11,L
GraphSidecar,2024-02-23 15:55:34,L
GraphImage,2024-02-23 15:53:51,L
GraphImage,2024-02-23 11:51:42,L
GraphImage,2024-02-23 08:46:37,L
GraphSidecar,2024-02-22 21:39:56,L
GraphImage,2024-02-22 21:13:23,L
GraphImage,2024-02-22 18:23:19,L
GraphSidecar,2024-02-22 16:24:03,L
GraphImage,2024-02-21 21:56:55,L
GraphImage,2024-02-21 17:39:27,L
GraphSidecar,2024-02-21 17:10:06,L
GraphImage,2024-02-21 15:24:28,L
GraphSidecar,2024-02-21 12:04:06,L
GraphSidecar,2024-02-21 09:20:10,L
GraphSidecar,2024-02-21 00:03:31,L
GraphSidecar,2024-02-20 22:08:42,L
GraphImage,2024-02-20 20:37:43,L
GraphImage,2024-02-20 18:47:28,L
GraphSidecar,2024-02-20 17:52:54,L
GraphImage,2024-02-20 11:57:09,L
GraphSidecar,2024-02-19 19:24:32,L
GraphImage,2024-02-19 18:51:09,L
GraphImage,2024-02-19 16:48:03,L
GraphImage,2024-02-19 12:19:10,L
GraphSidecar,2024-02-18 19:09:04,L
GraphVideo,2024-02-18 00:50:59,L
GraphVideo,2024-02-17 23:42:51,L
GraphVideo,2024-02-17 23:02:11,L
GraphVideo,2024-02-17 01:35:18,L
GraphVideo,2024-02-17 00:14:03,L
GraphVideo,2024-02-16 20:00:21,L
GraphImage,2024-02-16 18:48:03,L
GraphVideo,2024-02-16 17:52:31,L
GraphImage,2024-02-16 12:09:02,L
GraphVideo,2024-02-16 08:43:05,L
GraphSidecar,2024-02-15 19:27:09,L
GraphImage,2024-02-15 16:10:33,L
GraphImage,2024-02-15 14:43:12,L
GraphImage,2024-02-15 12:36:28,L
GraphImage,2024-02-15 11:24:34,L
GraphVideo,2024-02-14 20:12:12,L
GraphSidecar,2024-02-13 22:38:25,L
GraphVideo,2024-02-13 21:41:51,L
GraphVideo,2024-02-13 20:04:52,L
GraphSidecar,2024-02-13 16:42:20,L
GraphVideo,2024-02-13 12:09:00,L
GraphImage,2024-02-12 20:23:32,L
GraphVideo,2024-02-12 19:50:50,L
GraphSidecar,2024-02-12 16:26:31,L
GraphImage,2024-02-12 11:20:59,L
GraphSidecar,2024-02-11 19:32:39,L
GraphVideo,2024-02-10 18:46:11,L
GraphVideo,2024-02-09 23:47:27,L
GraphVideo,2024-02-09 22:30:44,L
GraphVideo,2024-02-09 17:15:09,L
GraphVideo,2024-02-09 12:51:02,L
GraphImage,2024-02-08 22:02:36,L
GraphVideo,2024-02-08 20:05:07,L
GraphImage,2024-02-08 19:17:31,L
GraphSidecar,2024-02-08 17:41:31,L
GraphVideo,2024-02-08 15:34:43,L
GraphImage,2024-02-08 15:15:55,L
GraphSidecar,2024-02-08 13:53:28,L
GraphImage,2024-02-08 12:48:39,L
GraphImage,2024-02-08 10:27:38,L
GraphSidecar,2024-02-08 08:03:49,L
GraphVideo,2024-02-07 22:20:46,L
GraphImage,2024-02-07 21:44:55,L
GraphImage,2024-02-07 19:10:20,L
GraphImage,2024-02-07 16:04:06,L
GraphImage,2024-02-06 18:55:27,L
GraphImage,2024-02-06 17:08:16,L
GraphImage,2024-02-06 14:48:44,L
GraphVideo,2024-02-05 23:04:12,L
GraphVideo,2024-02-05 17:47:07,L
GraphSidecar,2024-02-05 17:27:36,L
GraphSidecar,2024-02-05 13:40:45,L
GraphImage,2024-02-02 20:30:57,L
GraphImage,2024-02-02 18:08:00,L
GraphImage,2024-02-01 17:12:11,L
GraphSidecar,2024-02-01 12:24:14,L
GraphVideo,2024-02-01 11:46:12,L
GraphSidecar,2024-01-31 17:14:01,L
GraphVideo,2024-01-31 16:52:39,L
GraphImage,2024-01-31 12:01:58,L
GraphImage,2024-01-30 17:06:44,L
GraphSidecar,2024-01-29 16:59:21,L
GraphVideo,2024-01-28 00:53:20,L
GraphImage,2024-01-27 23:53:07,L
GraphImage,2024-01-27 23:17:40,L
GraphVideo,2024-01-27 22:49:52,L
GraphSidecar,2024-01-26 17:26:40,L
GraphVideo,2024-01-25 20:03:55,L
GraphVideo,2024-01-25 16:33:52,L
GraphVideo,2024-01-24 18:27:09,L
